"","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"2007",6.29032258064516,19.25,9.48387096774194,17.5333333333333,4.35483870967742,2.8,0.451612903225806,0,0,5.29032258064516,10.7666666666667,10
"2008",6.29032258064516,4.62068965517241,14.7096774193548,13.8666666666667,1.61290322580645,0.766666666666667,0,0.387096774193548,0.533333333333333,8.12903225806452,15.4,13.9354838709677
"2009",8.19354838709677,10.75,14.1290322580645,12.1333333333333,9.54838709677419,4.16666666666667,0.032258064516129,0.032258064516129,0.0333333333333333,2.7741935483871,4.93333333333333,12.8387096774194
"2010",11.9032258064516,16.8571428571429,19,6.63333333333333,12.5806451612903,7.96666666666667,7.06451612903226,7.48387096774194,12.9,9.03225806451613,16.4,12.4838709677419
"2011",2.2258064516129,4.67857142857143,6.64516129032258,8.53333333333333,7.51612903225806,2,2.03225806451613,0,0,3.67741935483871,15.6333333333333,11.7741935483871
"2012",5.42258064516129,10.6344827586207,8.25483870967742,10.0966666666667,4.09677419354839,1.66666666666667,0,0,0.463333333333333,1.09032258064516,8.00666666666667,16.8516129032258
"2013",7.75806451612903,13.6892857142857,8.88709677419355,17.1233333333333,7.5,4.23333333333333,5.64516129032258,0.129032258064516,0.15,2.01612903225806,5.17333333333333,12.9645161290323
"2014",7.2258064516129,3.65,15.3645161290323,15.5166666666667,9.32258064516129,3.81,2.56451612903226,0.596774193548387,0,0.296774193548387,9.43333333333333,10.741935483871
"2015",8.75806451612903,8.76785714285714,14.4032258064516,7.45,2.90322580645161,0,0,0,0,0,7.53333333333333,11.6612903225806
"2016",8.30645161290323,11.5862068965517,15.0483870967742,14.4166666666667,13.258064516129,3.93333333333333,8.98387096774194,2.75806451612903,10.8833333333333,9.95161290322581,10.0333333333333,7.58064516129032
"2017",7.32258064516129,12.3214285714286,20.1935483870968,12,2.03225806451613,5.63333333333333,0.0967741935483871,0,1.53333333333333,7.51612903225806,6.93333333333333,6.41935483870968
"2018",6.88709677419355,13.2857142857143,13.2258064516129,8.73333333333333,1.2258064516129,1.76666666666667,0,0,2.23333333333333,2.09677419354839,15.7,10.2903225806452
"2019",7.16129032258065,16.0714285714286,11.6451612903226,14.0333333333333,3.19354838709677,0,0,0,0,0.0161290322580645,1.83333333333333,12.5161290322581
"2020",10.3387096774194,8.70689655172414,11.9516129032258,9.58333333333333,8.08064516129032,0.85,0,0.290322580645161,0.166666666666667,8.48387096774194,7.45,7.03225806451613
"2021",9.88709677419355,7.75,11.1290322580645,2.23333333333333,4.17741935483871,5.83333333333333,0.741935483870968,0.516129032258065,0.766666666666667,5.59677419354839,14.2666666666667,8.33870967741935
"2022",3.06451612903226,6.92857142857143,9.96774193548387,14.4666666666667,9.14516129032258,3.98333333333333,3.53225806451613,2.37096774193548,4.96666666666667,10.758064516129,10.45,8.87096774193548
