"","P2.5","P5","P10","P20","P30"
"1",10.445,20.048,31.016,40.514,48.828
"2",3.994,8.258,26.832,43.771245718,56.484
"3",20.37,26.882,38.34,57.982,74.432495024
"4",8.35,16.645,33.693,56.046,80.278
"5",5.2,5.61,20.522,35.316,50.266
"6",9.1295,10.9505,13.574,19.808,25.377
"7",5.07,7.34,9.316,11.25,15.246
"8",0.088,1.258,5.408,6.886,8.678
"9",0,0.361000000000002,5.398,7.474,10.264
"10",0,1.44,7.096,9.33,11.4
"11",5.2,5.49,11.407,23.324,36.502
"12",9.47,15.796,27.752,42.966,57.188
