"","P2.5","P5","P10","P20","P30"
"1",4.834,7.065,9.6576,12.116,13.6968
"2",4.569,6.8405,10.218,12.636,16.79
"3",2.6515,6.29,11.388,15.775,19.6508
"4",8.138,9.126,11.388,16.19,19.745450509
"5",2.9975,3.982,7.9,11.622,14.7316
"6",2.385,2.626,4.0518,6.69,8.7
"7",1.295,1.482,1.716,4.37,5.9124
"8",0.8,1.6,1.9625543872,3.053,5.252
"9",0.5,1.1467,1.6282,2.022,4.966
"10",0.825,1.4852,1.75,3.809,5.33
"11",1.490375,2.205,4.42,6.2088,7.8991171858
"12",5.505,6.8828,8.3616,11.256091878,13.806
