"","P2.5","P5","P10","P20","P30"
"1",1.2525,1.715,2.97,4.12,4.94
"2",1.97,2.58,3.65,4.56,5.39
"3",2.565,3.56,4.1,5.21,6.43
"4",1.67475,2.516,4.2863176895,5.829402046,7.061
"5",1.13075,1.3205,1.813,2.984,4.163
"6",0.21,0.7185,1.01,1.4,1.934
"7",0.03,0.04,0.44,0.99,1.253
"8",0.01,0.03,0.14,0.71,0.93
"9",0.01,0.02,0.04,0.54,0.89
"10",0.04,0.199,0.538,0.74,1.09
"11",0.05,0.46,0.62,1.03,2.53
"12",0.525,0.78,1.62,3.54,5.01
